id,en,ja,pos,theme,level,notes
369,match,試合,noun,people,eiken5,
370,hobby,趣味,noun,people,eiken5,
371,vacation,休暇,noun,daily,eiken5,
372,holiday,祝日,noun,daily,eiken5,
373,trip,旅行,noun,place,eiken5,
374,party,パーティー,noun,people,eiken5,
375,money,お金,noun,general,eiken5,
376,price,値段,noun,general,eiken5,
377,shop,お店,noun,place,eiken5,
378,market,市場,noun,place,eiken5,
379,bridge,橋,noun,place,eiken5,
380,breakfast,朝食,noun,daily,eiken5,
381,message,メッセージ,noun,general,eiken5,
382,gift,贈り物,noun,people,eiken5,
383,map,地図,noun,place,eiken5,
384,flag,旗,noun,general,eiken5,
385,sugar,砂糖,noun,daily,eiken5,
386,salt,塩,noun,daily,eiken5,
387,big,大きい,adjective,general,eiken5,
388,small,小さい,adjective,general,eiken5,
389,old,古い,adjective,general,eiken5,
390,new,新しい,adjective,general,eiken5,
391,long,長い,adjective,general,eiken5,
392,short,短い,adjective,general,eiken5,
393,tall,背が高い,adjective,general,eiken5,
394,high,高い,adjective,general,eiken5,
395,low,低い,adjective,general,eiken5,
396,fast,速い,adjective,general,eiken5,
397,slow,遅い,adjective,general,eiken5,
398,good,良い,adjective,general,eiken5,
399,bad,悪い,adjective,general,eiken5,
400,hot,暑い,adjective,general,eiken5,
401,cold,寒い,adjective,general,eiken5,
402,warm,暖かい,adjective,general,eiken5,
403,cool,涼しい,adjective,general,eiken5,
404,beautiful,美しい,adjective,general,eiken5,
405,pretty,きれいな,adjective,general,eiken5,
406,cute,かわいい,adjective,general,eiken5,
407,happy,幸せな,adjective,mind,eiken5,
408,sad,悲しい,adjective,mind,eiken5,
409,angry,怒った,adjective,mind,eiken5,
410,tired,疲れた,adjective,mind,eiken5,
411,hungry,お腹が空いた,adjective,daily,eiken5,
412,thirsty,のどが渇いた,adjective,daily,eiken5,
413,sick,病気の,adjective,daily,eiken5,
414,busy,忙しい,adjective,daily,eiken5,
415,free,暇な,adjective,daily,eiken5,
416,easy,簡単な,adjective,general,eiken5,
417,difficult,難しい,adjective,general,eiken5,
418,soft,柔らかい,adjective,general,eiken5,
419,dirty,汚い,adjective,general,eiken5,
420,right,正しい,adjective,general,eiken5,
421,wrong,間違った,adjective,general,eiken5,
422,same,同じ,adjective,general,eiken5,
423,different,違う,adjective,general,eiken5,
424,ready,準備ができた,adjective,general,eiken5,
425,late,遅い,adjective,daily,eiken5,
426,early,早い,adjective,daily,eiken5,
427,show,見せる,verb,action,eiken5,
428,find,見つける,verb,action,eiken5,
429,bring,持ってくる,verb,action,eiken5,
430,call,電話する,verb,action,eiken5,
431,carry,運ぶ,verb,action,eiken5,
432,change,変える,verb,action,eiken5,
433,check,確認する,verb,action,eiken5,
434,choose,選ぶ,verb,action,eiken5,
435,cut,切る,verb,action,eiken5,
436,decide,決める,verb,action,eiken5,
437,draw,描く,verb,action,eiken5,
438,feel,感じる,verb,action,eiken5,
439,finish,終える,verb,action,eiken5,
440,hear,聞こえる,verb,action,eiken5,
441,hit,打つ,verb,action,eiken5,
442,hold,持つ,verb,action,eiken5,
443,hope,望む,verb,action,eiken5,
444,join,参加する,verb,action,eiken5,
445,keep,保つ,verb,action,eiken5,
446,leave,去る,verb,action,eiken5,
447,lose,失う,verb,action,eiken5,
448,return,戻る,verb,action,eiken5,
449,save,救う,verb,action,eiken5,
450,say,言う,verb,action,eiken5,
451,send,送る,verb,action,eiken5,
452,weather,天気,noun,nature,eiken5,
453,wind,風,noun,nature,eiken5,
454,storm,嵐,noun,nature,eiken5,
455,thunder,雷,noun,nature,eiken5,
456,knife,ナイフ,noun,daily,eiken5,
457,fork,フォーク,noun,daily,eiken5,
458,spoon,スプーン,noun,daily,eiken5,
459,plate,皿,noun,daily,eiken5,
460,cup,カップ,noun,daily,eiken5,
461,album,アルバム,noun,general,eiken5,
462,concert,コンサート,noun,general,eiken5,
463,movie,映画,noun,general,eiken5,
464,magazine,雑誌,noun,general,eiken5,
465,novel,小説,noun,general,eiken5,
466,dream,夢,noun,mind,eiken5,
467,wish,願い,noun,mind,eiken5,
468,memory,思い出,noun,mind,eiken5,
469,feeling,気持ち,noun,mind,eiken5,
470,wood,木材,noun,nature,eiken5,
471,paper,紙,noun,daily,eiken5,
472,race,レース,noun,people,eiken5,
473,jungle,ジャングル,noun,nature,eiken5,
474,desert,砂漠,noun,nature,eiken5,
475,valley,谷,noun,nature,eiken5,
476,wing,翼,noun,nature,eiken5,
477,ruler,定規,noun,daily,eiken5,
478,uniform,制服,noun,daily,eiken5,
479,cap,キャップ,noun,daily,eiken5,
480,ring,指輪,noun,daily,eiken5,
481,accident,事故,noun,general,eiken5,
482,adventure,冒険,noun,general,eiken5,
483,character,キャラクター,noun,general,eiken5,
484,chance,チャンス,noun,general,eiken5,
485,chocolate,チョコレート,noun,daily,eiken5,
486,culture,文化,noun,general,eiken5,
487,exercise,運動,noun,daily,eiken5,
488,interest,興味,noun,mind,eiken5,
489,language,言語,noun,general,eiken5,
490,life,生活,noun,daily,eiken5,
491,nature,自然,noun,nature,eiken5,
492,problem,問題,noun,general,eiken5,
493,question,質問,noun,general,eiken5,
494,answer,答え,noun,general,eiken5,
495,age,年齢,noun,general,eiken5,
496,size,サイズ,noun,general,eiken5,
497,surprise,驚き,noun,mind,eiken5,
498,fun,楽しさ,noun,mind,eiken5,
499,win,勝つ,verb,action,eiken5,
500,picture,写真,noun,daily,eiken5,
