id,en,ja,pos,theme,level,notes
67,engaged,婚約した,adjective,general,eiken_pre2,
68,entirely,完全に,adverb,general,eiken_pre2,
69,eternal,永遠の,adjective,general,eiken_pre2,
70,even,平らな,adjective,general,eiken_pre2,
71,eventually,最終的に,adverb,general,eiken_pre2,
72,examination,試験,noun,general,eiken_pre2,
73,exclusive,独占的な,adjective,general,eiken_pre2,
74,extensively,広範に,adverb,general,eiken_pre2,
75,fallen,落ちた,adjective,general,eiken_pre2,
76,faraway,遠い,adjective,general,eiken_pre2,
77,forbidden,禁じられた,adjective,general,eiken_pre2,
78,frequently,頻繁に,adverb,general,eiken_pre2,
79,future,将来の,adjective,general,eiken_pre2,
80,general,一般的な,adjective,general,eiken_pre2,
81,genetic,遺伝の,adjective,general,eiken_pre2,
82,geographical,地理的な,adjective,general,eiken_pre2,
83,glorious,栄光の,adjective,general,eiken_pre2,
84,harness,ハーネス,noun,general,eiken_pre2,
85,hasty,急いだ,adjective,general,eiken_pre2,
86,hatch,ハッチ,noun,general,eiken_pre2,
87,haunt,幽霊が出る場所,noun,general,eiken_pre2,
88,healing,癒しの,adjective,general,eiken_pre2,
89,hearty,心のこもった,adjective,general,eiken_pre2,
90,helpless,無力な,adjective,general,eiken_pre2,
91,hidden,隠れた,adjective,general,eiken_pre2,
92,historical,歴史的な,adjective,general,eiken_pre2,
93,honestly,正直に,adverb,general,eiken_pre2,
94,hop,ホップ,noun,general,eiken_pre2,
95,imaginary,想像上の,adjective,general,eiken_pre2,
96,immediately,すぐに,adverb,general,eiken_pre2,
97,improper,不適切な,adjective,general,eiken_pre2,
98,inconvenient,不便な,adjective,general,eiken_pre2,
99,incorrect,不正確な,adjective,general,eiken_pre2,
100,increasingly,ますます,adverb,general,eiken_pre2,
101,indirect,間接的な,adjective,general,eiken_pre2,
102,industrial,産業の,adjective,general,eiken_pre2,
103,inevitable,避けられない,adjective,general,eiken_pre2,
104,informative,情報豊富な,adjective,general,eiken_pre2,
105,insane,正気でない,adjective,general,eiken_pre2,
106,intensive,集中的な,adjective,general,eiken_pre2,
107,intermediate,中級の,adjective,general,eiken_pre2,
108,internal,内部の,adjective,general,eiken_pre2,
109,involved,複雑な,adjective,general,eiken_pre2,
110,irregular,不規則な,adjective,general,eiken_pre2,
111,isle,島,noun,general,eiken_pre2,
112,laboratory,実験室,noun,general,eiken_pre2,
113,largely,主に,adverb,general,eiken_pre2,
114,lasting,永続する,adjective,general,eiken_pre2,
115,lately,最近,adverb,general,eiken_pre2,
116,lawful,合法的な,adjective,general,eiken_pre2,
117,leading,主要な,adjective,general,eiken_pre2,
118,lean,細い,adjective,general,eiken_pre2,
119,lifelong,生涯の,adjective,general,eiken_pre2,
120,limited,限られた,adjective,general,eiken_pre2,
121,liquid,液体の,adjective,general,eiken_pre2,
122,literary,文学の,adjective,general,eiken_pre2,
123,lodge,小屋,noun,general,eiken_pre2,
124,luggage,荷物,noun,general,eiken_pre2,
125,magical,魔法の,adjective,general,eiken_pre2,
126,main,主な,adjective,general,eiken_pre2,
127,male,男の,adjective,general,eiken_pre2,
128,marine,海の,adjective,general,eiken_pre2,
129,marked,著しい,adjective,general,eiken_pre2,
130,maximum,最大の,adjective,general,eiken_pre2,
131,mechanical,機械的な,adjective,general,eiken_pre2,
132,medium,中程度の,adjective,general,eiken_pre2,
133,memorable,印象深い,adjective,general,eiken_pre2,
134,mere,単なる,adjective,general,eiken_pre2,
135,merely,単に,adverb,general,eiken_pre2,
136,messy,散らかった,adjective,general,eiken_pre2,
137,minimum,最小の,adjective,general,eiken_pre2,
138,minor,小さな,adjective,general,eiken_pre2,
139,misty,霧がかった,adjective,general,eiken_pre2,
140,monthly,月ごとの,adjective,general,eiken_pre2,
141,motionless,動かない,adjective,general,eiken_pre2,
142,narrative,物語の,adjective,general,eiken_pre2,
143,naturally,自然に,adverb,general,eiken_pre2,
144,nearby,近くの,adjective,general,eiken_pre2,
145,newborn,生まれたばかりの,adjective,general,eiken_pre2,
146,normally,普通に,adverb,general,eiken_pre2,
147,noticeable,目立つ,adjective,general,eiken_pre2,
148,notorious,悪名高い,adjective,general,eiken_pre2,
149,nutritious,栄養のある,adjective,general,eiken_pre2,
150,obviously,明らかに,adverb,general,eiken_pre2,
151,occasional,時々の,adjective,general,eiken_pre2,
152,offensive,不快な,adjective,general,eiken_pre2,
153,officially,公式に,adverb,general,eiken_pre2,
154,oily,油っぽい,adjective,general,eiken_pre2,
155,orderly,整然とした,adjective,general,eiken_pre2,
156,outdoor,屋外の,adjective,general,eiken_pre2,
157,overnight,一晩の,adjective,general,eiken_pre2,
158,overwhelming,圧倒的な,adjective,general,eiken_pre2,
159,parental,親の,adjective,general,eiken_pre2,
160,partial,部分的な,adjective,general,eiken_pre2,
161,particularly,特に,adverb,general,eiken_pre2,
162,passive,受動的な,adjective,general,eiken_pre2,
163,peculiar,奇妙な,adjective,general,eiken_pre2,
164,penniless,一文無しの,adjective,general,eiken_pre2,
165,permanent,永続的な,adjective,general,eiken_pre2,
166,permanently,永続的に,adverb,general,eiken_pre2,
167,personally,個人的に,adverb,general,eiken_pre2,
168,persuasive,説得力のある,adjective,general,eiken_pre2,
169,possessive,独占欲の強い,adjective,general,eiken_pre2,
170,pregnant,妊娠した,adjective,general,eiken_pre2,
171,primarily,主に,adverb,general,eiken_pre2,
172,primitive,原始的な,adjective,general,eiken_pre2,
173,prominent,著名な,adjective,general,eiken_pre2,
174,properly,適切に,adverb,general,eiken_pre2,
175,prosperous,繁栄した,adjective,general,eiken_pre2,
176,protective,保護的な,adjective,general,eiken_pre2,
177,psychological,心理的な,adjective,general,eiken_pre2,
178,public,公共の,adjective,general,eiken_pre2,
179,qualified,資格のある,adjective,general,eiken_pre2,
180,racial,人種の,adjective,general,eiken_pre2,
181,rapidly,急速に,adverb,general,eiken_pre2,
182,rarely,めったに〜ない,adverb,general,eiken_pre2,
183,recycled,再利用された,adjective,general,eiken_pre2,
184,regional,地域の,adjective,general,eiken_pre2,
185,relatively,比較的,adverb,general,eiken_pre2,
186,relaxing,リラックスできる,adjective,general,eiken_pre2,
187,repeatedly,繰り返して,adverb,general,eiken_pre2,
188,resident,居住の,adjective,general,eiken_pre2,
189,residential,住宅の,adjective,general,eiken_pre2,
190,respectable,立派な,adjective,general,eiken_pre2,
191,ripe,熟した,adjective,general,eiken_pre2,
192,rotten,腐った,adjective,general,eiken_pre2,
193,sacred,神聖な,adjective,general,eiken_pre2,
194,scenic,景色のよい,adjective,general,eiken_pre2,
195,shallow,浅い,adjective,general,eiken_pre2,
196,shameful,恥ずかしい,adjective,general,eiken_pre2,
197,shiny,輝いている,adjective,general,eiken_pre2,
198,shocked,驚いた,adjective,general,eiken_pre2,
199,shocking,衝撃的な,adjective,general,eiken_pre2,
200,slightly,わずかに,adverb,general,eiken_pre2,
201,spiral,らせん状の,adjective,general,eiken_pre2,
202,steadily,着実に,adverb,general,eiken_pre2,
203,strategic,戦略的な,adjective,general,eiken_pre2,
204,stressful,ストレスの多い,adjective,general,eiken_pre2,
205,substantial,かなりの,adjective,general,eiken_pre2,
206,suddenly,突然,adverb,general,eiken_pre2,
207,superior,優れた,adjective,general,eiken_pre2,
208,supportive,支援的な,adjective,general,eiken_pre2,
209,swollen,腫れた,adjective,general,eiken_pre2,
210,systematic,系統的な,adjective,general,eiken_pre2,
211,tasteless,味のない,adjective,general,eiken_pre2,
212,technological,技術的な,adjective,general,eiken_pre2,
213,thorough,徹底的な,adjective,general,eiken_pre2,
214,threatening,脅威的な,adjective,general,eiken_pre2,
215,tiring,疲れさせる,adjective,general,eiken_pre2,
216,total,合計の,adjective,general,eiken_pre2,
217,tragic,悲劇的な,adjective,general,eiken_pre2,
218,trustworthy,信頼できる,adjective,general,eiken_pre2,
219,typically,典型的に,adverb,general,eiken_pre2,
220,unbelievable,信じられない,adjective,general,eiken_pre2,
221,unemployed,失業した,adjective,general,eiken_pre2,
222,unfriendly,不親切な,adjective,general,eiken_pre2,
223,upper,上の,adjective,general,eiken_pre2,
224,vague,漠然とした,adjective,general,eiken_pre2,
225,vain,無駄な,adjective,general,eiken_pre2,
226,vegetarian,菜食主義の,adjective,general,eiken_pre2,
227,virtual,仮想の,adjective,general,eiken_pre2,
228,visual,視覚的な,adjective,general,eiken_pre2,
229,wasteful,無駄遣いの,adjective,general,eiken_pre2,
230,worthy,価値のある,adjective,general,eiken_pre2,
231,abolish,廃止する,verb,action,eiken_pre2,
232,accumulate,蓄積する,verb,action,eiken_pre2,
233,adequate,十分な,adjective,general,eiken_pre2,
234,adore,崇拝する,verb,action,eiken_pre2,
235,alert,警告する,verb,action,eiken_pre2,
236,alter,変える,verb,action,eiken_pre2,
237,amaze,驚かせる,verb,action,eiken_pre2,
238,amuse,楽しませる,verb,action,eiken_pre2,
239,anticipate,予期する,verb,action,eiken_pre2,
240,arouse,呼び起こす,verb,action,eiken_pre2,
241,assemble,組み立てる,verb,action,eiken_pre2,
242,assert,主張する,verb,action,eiken_pre2,
243,assess,評価する,verb,action,eiken_pre2,
244,assure,保証する,verb,action,eiken_pre2,
245,await,待つ,verb,action,eiken_pre2,
246,bully,いじめる,verb,action,eiken_pre2,
247,cease,止まる,verb,action,eiken_pre2,
248,certify,証明する,verb,action,eiken_pre2,
249,cheat,ずるをする,verb,action,eiken_pre2,
250,chew,噛む,verb,action,eiken_pre2,
251,clap,拍手する,verb,action,eiken_pre2,
252,coincide,一致する,verb,action,eiken_pre2,
253,commute,通勤する,verb,action,eiken_pre2,
254,compile,まとめる,verb,action,eiken_pre2,
255,comprehensive,包括的な,adjective,general,eiken_pre2,
256,conceal,隠す,verb,action,eiken_pre2,
257,conceive,思いつく,verb,action,eiken_pre2,
258,condemn,非難する,verb,action,eiken_pre2,
259,confess,告白する,verb,action,eiken_pre2,
260,consistent,一貫した,adjective,general,eiken_pre2,
261,console,慰める,verb,action,eiken_pre2,
262,cooperative,協力的な,adjective,general,eiken_pre2,
263,crucial,重要な,adjective,general,eiken_pre2,
264,dynamic,活動的な,adjective,general,eiken_pre2,
265,eligible,適格な,adjective,general,eiken_pre2,
266,enforce,施行する,verb,action,eiken_pre2,
267,enhance,高める,verb,action,eiken_pre2,
268,excessive,過度な,adjective,general,eiken_pre2,
269,fundamental,基本的な,adjective,general,eiken_pre2,
270,genuine,本物の,adjective,general,eiken_pre2,
271,identical,同一の,adjective,general,eiken_pre2,
272,influential,影響力のある,adjective,general,eiken_pre2,
273,innovative,革新的な,adjective,general,eiken_pre2,
274,integrate,統合する,verb,action,eiken_pre2,
275,intellectual,知的な,adjective,general,eiken_pre2,
276,justify,正当化する,verb,action,eiken_pre2,
277,optional,任意の,adjective,general,eiken_pre2,
278,passionate,情熱的な,adjective,general,eiken_pre2,
279,payment,支払い,noun,general,eiken_pre2,
280,peak,頂点,noun,general,eiken_pre2,
281,pedestrian,歩行者,noun,general,eiken_pre2,
282,penalty,罰則,noun,general,eiken_pre2,
283,pension,年金,noun,general,eiken_pre2,
284,percentage,割合,noun,general,eiken_pre2,
285,privilege,特権,noun,general,eiken_pre2,
286,procedure,手順,noun,general,eiken_pre2,
287,psychology,心理学,noun,general,eiken_pre2,
288,publicity,広告,noun,general,eiken_pre2,
289,qualification,資格,noun,general,eiken_pre2,
290,quotation,引用,noun,general,eiken_pre2,
291,recession,不況,noun,general,eiken_pre2,
292,refugee,難民,noun,general,eiken_pre2,
293,regulate,規制する,verb,action,eiken_pre2,
294,reinforce,強化する,verb,action,eiken_pre2,
295,relevant,関連のある,adjective,general,eiken_pre2,
296,restriction,制限,noun,general,eiken_pre2,
297,revenue,収入,noun,general,eiken_pre2,
298,revolution,革命,noun,general,eiken_pre2,
299,sanitation,衛生,noun,general,eiken_pre2,
300,seminar,セミナー,noun,general,eiken_pre2,
301,sensitive,敏感な,adjective,general,eiken_pre2,
302,sophisticated,洗練された,adjective,general,eiken_pre2,
303,stereotype,固定観念,noun,general,eiken_pre2,
304,stimulate,刺激する,verb,action,eiken_pre2,
305,supervise,監督する,verb,action,eiken_pre2,
306,supervisor,上司,noun,general,eiken_pre2,
307,sustain,維持する,verb,action,eiken_pre2,
308,symbolic,象徴的な,adjective,general,eiken_pre2,
309,transparent,透明な,adjective,general,eiken_pre2,
310,withdraw,引き出す,verb,action,eiken_pre2,
311,add,加える,verb,action,eiken_pre2,
312,adjust,調整する,verb,action,eiken_pre2,
313,admire,称賛する,verb,mind,eiken_pre2,
314,advise,助言する,verb,action,eiken_pre2,
315,agree,同意する,verb,mind,eiken_pre2,
316,allow,許可する,verb,action,eiken_pre2,
317,analyze,分析する,verb,action,eiken_pre2,
318,apologize,謝る,verb,action,eiken_pre2,
319,apply,申し込む,verb,action,eiken_pre2,
320,appreciate,感謝する,verb,mind,eiken_pre2,
321,argue,議論する,verb,action,eiken_pre2,
322,avoid,避ける,verb,action,eiken_pre2,
323,beg,懇願する,verb,action,eiken_pre2,
324,believe,信じる,verb,mind,eiken_pre2,
325,belong,属する,verb,general,eiken_pre2,
326,clarify,明確にする,verb,action,eiken_pre2,
327,collaborate,協力する,verb,people,eiken_pre2,
328,communicate,伝える,verb,people,eiken_pre2,
329,compare,比較する,verb,action,eiken_pre2,
330,complain,不満を言う,verb,mind,eiken_pre2,
331,consider,考慮する,verb,mind,eiken_pre2,
332,convert,変換する,verb,action,eiken_pre2,
333,cooperate,協力する,verb,people,eiken_pre2,
334,copy,コピーする,verb,action,eiken_pre2,
335,correct,訂正する,verb,action,eiken_pre2,
336,create,作る,verb,action,eiken_pre2,
337,criticize,批判する,verb,action,eiken_pre2,
338,depend,依存する,verb,general,eiken_pre2,
339,destroy,破壊する,verb,action,eiken_pre2,
340,develop,発展する,verb,action,eiken_pre2,
341,discuss,話し合う,verb,people,eiken_pre2,
342,donate,寄付する,verb,people,eiken_pre2,
343,emphasize,強調する,verb,action,eiken_pre2,
344,enter,入る,verb,action,eiken_pre2,
345,establish,設立する,verb,action,eiken_pre2,
346,evaluate,評価する,verb,action,eiken_pre2,
347,expect,期待する,verb,mind,eiken_pre2,
348,gather,集まる,verb,action,eiken_pre2,
349,greet,挨拶する,verb,people,eiken_pre2,
350,hide,隠れる,verb,action,eiken_pre2,
351,identify,特定する,verb,action,eiken_pre2,
352,illustrate,説明する,verb,action,eiken_pre2,
353,imagine,想像する,verb,mind,eiken_pre2,
354,include,含む,verb,general,eiken_pre2,
355,indicate,示す,verb,action,eiken_pre2,
356,install,インストールする,verb,action,eiken_pre2,
357,investigate,調査する,verb,action,eiken_pre2,
358,lead,導く,verb,action,eiken_pre2,
359,manage,管理する,verb,action,eiken_pre2,
360,memorize,暗記する,verb,action,eiken_pre2,
361,operate,操作する,verb,action,eiken_pre2,
362,order,命令する,verb,action,eiken_pre2,
363,organize,組織する,verb,action,eiken_pre2,
364,pass,通過する,verb,action,eiken_pre2,
365,pay,払う,verb,action,eiken_pre2,
366,prefer,好む,verb,mind,eiken_pre2,
367,prevent,防ぐ,verb,action,eiken_pre2,
368,provide,提供する,verb,action,eiken_pre2,
369,publish,出版する,verb,action,eiken_pre2,
370,recognize,認識する,verb,mind,eiken_pre2,
371,recycle,リサイクルする,verb,nature,eiken_pre2,
372,refuse,断る,verb,action,eiken_pre2,
373,remain,残る,verb,action,eiken_pre2,
374,represent,代表する,verb,people,eiken_pre2,
375,research,研究する,verb,action,eiken_pre2,
376,reveal,明らかにする,verb,action,eiken_pre2,
377,review,見直す,verb,action,eiken_pre2,
378,select,選ぶ,verb,action,eiken_pre2,
379,share,共有する,verb,people,eiken_pre2,
380,solve,解決する,verb,action,eiken_pre2,
381,summarize,まとめる,verb,action,eiken_pre2,
382,survive,生き残る,verb,action,eiken_pre2,
383,utilize,活用する,verb,action,eiken_pre2,
384,accelerate,加速する,verb,action,eiken_pre2,
385,activate,活性化する,verb,action,eiken_pre2,
386,allocate,割り当てる,verb,action,eiken_pre2,
387,authorize,許可する,verb,action,eiken_pre2,
388,browse,閲覧する,verb,action,eiken_pre2,
389,compensate,補償する,verb,action,eiken_pre2,
390,concentrate,集中する,verb,mind,eiken_pre2,
391,coordinate,調整する,verb,action,eiken_pre2,
392,customize,カスタマイズする,verb,action,eiken_pre2,
393,explore,探索する,verb,place,eiken_pre2,
394,import,輸入する,verb,action,eiken_pre2,
395,lower,下げる,verb,action,eiken_pre2,
396,reflect,反映する,verb,action,eiken_pre2,
397,seek,求める,verb,action,eiken_pre2,
398,survey,調査する,verb,action,eiken_pre2,
399,track,追跡する,verb,action,eiken_pre2,
400,treat,扱う,verb,action,eiken_pre2,
401,trigger,引き起こす,verb,action,eiken_pre2,
402,goal,目標,noun,general,eiken_pre2,
403,material,材料,noun,general,eiken_pre2,
404,method,方法,noun,general,eiken_pre2,
405,model,モデル,noun,general,eiken_pre2,
406,organization,組織,noun,people,eiken_pre2,
407,performance,パフォーマンス,noun,people,eiken_pre2,
408,period,期間,noun,general,eiken_pre2,
409,perspective,視点,noun,mind,eiken_pre2,
410,population,人口,noun,people,eiken_pre2,
411,position,立場,noun,general,eiken_pre2,
412,reaction,反応,noun,general,eiken_pre2,
413,scale,規模,noun,general,eiken_pre2,
414,source,出所,noun,general,eiken_pre2,
415,stage,段階,noun,general,eiken_pre2,
416,strategy,戦略,noun,general,eiken_pre2,
417,structure,構造,noun,general,eiken_pre2,
418,system,システム,noun,general,eiken_pre2,
419,tool,ツール,noun,general,eiken_pre2,
420,trend,傾向,noun,general,eiken_pre2,
421,variety,多様性,noun,general,eiken_pre2,
422,version,バージョン,noun,general,eiken_pre2,
423,vision,ビジョン,noun,mind,eiken_pre2,
424,welfare,福祉,noun,people,eiken_pre2,
425,diversity,多様性,noun,general,eiken_pre2,
426,infrastructure,インフラ,noun,place,eiken_pre2,
427,landscape,景色,noun,nature,eiken_pre2,
428,lifestyle,生活様式,noun,daily,eiken_pre2,
429,permission,許可,noun,general,eiken_pre2,
430,priority,優先事項,noun,general,eiken_pre2,
431,productivity,生産性,noun,general,eiken_pre2,
432,publication,出版物,noun,general,eiken_pre2,
433,resolution,解決,noun,general,eiken_pre2,
434,sensitivity,敏感さ,noun,mind,eiken_pre2,
435,sustainability,持続可能性,noun,nature,eiken_pre2,
436,transformation,変革,noun,general,eiken_pre2,
437,understanding,理解,noun,mind,eiken_pre2,
